producto,periodo,crisis_score,crisis_type,n_reviews,avg_rating,avg_sentiment,negative_sentiment_pct,dominant_problem,top_words,crisis_indicators
Samsung A15,2024-07,3,Severa,11,4.181818181818182,0.0303030303030303,0.0,cargador,"bueno, cargador, super, lindo, celu, recomendado, rapido, gran, capacidad, bateria",Caída abrupta (-0.82)
Samsung A15,2024-08,8,Severa,21,3.619047619047619,0.03373015873015873,0.0,cargador,"precio, cargador, bateria, celular, compre, lindo, dura, cable, solo, excelente",Rating crítico (3.62) | Caída abrupta (-0.56) | Alta volatilidad (0.365)
Samsung A15,2024-09,8,Severa,31,3.5806451612903225,0.03548387096774193,0.0,cargador,"cargador, celular, bateria, una, cable, bueno, trae, precio, excelente, solo","Rating crítico (3.58) | Alta volatilidad (0.419) | Patrón controversia (R:3.58, V:10.0)"
Samsung A15,2024-10,5,Moderada,64,3.28125,0.030338541666666663,0.0,cargador,"cargador, trae, celular, bueno, una, bateria, precio, cable, producto, equipo",Rating crítico (3.28) | Alta volatilidad (0.422)
Samsung A15,2024-11,8,Severa,50,2.7,0.02,0.0,cargador,"cargador, bateria, tilda, una, celular, bueno, pantalla, calidad, dura, vino",Rating crítico (2.70) | Caída abrupta (-0.58) | Alta volatilidad (0.576)
Samsung A15,2024-12,5,Moderada,67,3.1343283582089554,0.023383084577114424,0.0,cargador,"cargador, lindo, celular, una, bueno, pantalla, telefono, malo, viene, cable",Rating crítico (3.13) | Alta volatilidad (0.481)
Samsung A15,2025-01,5,Moderada,54,3.3518518518518516,-0.006790123456790124,3.7037037037037033,cargador,"cargador, bueno, bateria, telefono, camara, una, precio, buena, producto, excelente",Rating crítico (3.35) | Alta volatilidad (0.372)
Samsung A15,2025-02,4,Moderada,81,3.4691358024691357,0.03343621399176954,0.0,cargador,"cargador, precio, bueno, buen, malo, trae, unico, calidad, camara, bateria",Rating crítico (3.47) | Problema masivo (volumen alto + rating bajo)
Samsung A15,2025-03,6,Moderada,95,3.4526315789473685,0.02570175438596491,1.0526315789473684,cargador,"cargador, precio, calidad, bueno, celular, buena, excelente, trae, camara, bateria",Rating crítico (3.45) | Alta volatilidad (0.353) | Problema masivo (volumen alto + rating bajo)
Motorola G32,2023-02,3,Severa,5,4.4,0.0,0.0,bateria,"precio, camara, bateria, espectacular, excelente, velocidad, pantalla, dice, sonido, bicho",Caída abrupta (-0.60)
Motorola G32,2023-05,8,Severa,4,3.0,0.0,0.0,cargador,"carga, bueno, recomiendo, eligio, hijo, telefono, auxiliar, porque, rompio, suyo",Rating crítico (3.00) | Caída abrupta (-1.75) | Alta volatilidad (0.471)
Motorola G32,2023-07,8,Severa,19,3.526315789473684,0.002631578947368422,0.0,bateria,"uso, pantalla, celular, camara, medio, una, bateria, precio, buena, poco",Rating crítico (3.53) | Caída abrupta (-0.67) | Alta volatilidad (0.437)
Motorola G32,2023-08,6,Moderada,27,3.6666666666666665,0.00905349794238683,3.7037037037037033,bateria,"camara, bateria, buen, celular, buena, pantalla, telefono, calidad, mucho, uso",Rating crítico (3.67) | Engagement anómalo (x1.4) | Problema masivo (volumen alto + rating bajo)
Motorola G32,2023-12,4,Moderada,41,3.4878048780487805,0.016666666666666666,0.0,bateria,"buena, bueno, relacion, calidad, producto, buen, una, precio, bateria, uso",Rating crítico (3.49) | Problema masivo (volumen alto + rating bajo)
Motorola G32,2024-01,3,Moderada,23,3.608695652173913,0.021014492753623187,0.0,bateria,"precio, bueno, producto, uso, bateria, cumple, camara, mejor, calidad, celular",Rating crítico (3.61)
Motorola G32,2024-02,5,Moderada,12,3.5,0.004166666666666668,0.0,bateria,"celular, camara, estoy, hasta, recomiendo, conforme, buen, equipo, bateria, dura",Rating crítico (3.50) | Alta volatilidad (0.355)
Motorola G32,2024-03,3,Moderada,11,3.272727272727273,0.045454545454545456,0.0,bateria,"buen, camara, bateria, celular, producto, telefono, tener, demas, bueno, otro",Rating crítico (3.27)
Motorola G32,2024-04,5,Moderada,10,3.3,0.065,0.0,calidad,"uso, camara, buen, telefono, meses, puedo, celular, cumple, celu, bueno",Rating crítico (3.30) | Alta volatilidad (0.430)
Motorola G32,2024-05,7,Moderada,6,3.0,0.0,0.0,bateria,"celular, recomendable, bastante, bateria, resulta, extranamente, liviano, ano, tenerlo, anda",Rating crítico (3.00) | Engagement anómalo (x1.9) | Alta volatilidad (0.516)
Motorola G32,2024-06,5,Moderada,6,2.8333333333333335,0.0,0.0,calidad,"una, lindo, tilda, algo, espectacular, sebme, cayo, fuente, agua, saque",Rating crítico (2.83) | Alta volatilidad (0.413)
Motorola G32,2024-08,10,Severa,8,3.25,0.0875,0.0,bateria,"una, celular, camara, cumple, lindo, bateria, dura, telefono, gama, media",Rating crítico (3.25) | Caída abrupta (-0.55) | Engagement anómalo (x1.8) | Alta volatilidad (0.394)
