producto,periodo,corr_rating_sentiment,corr_volume_engagement,corr_length_sentiment
Motorola G32,2023-02,0.5,-0.7559289460184544,-1.0
Motorola G32,2023-03,0.9878291611472618,0.8980781827214099,-0.6058141160841563
Motorola G32,2023-04,0.960768922830523,0.9662344961780993,0.56809815781278
Motorola G32,2023-05,0.6099942813304186,0.5000000000000001,0.5774304400251422
Motorola G32,2023-06,0.5369344561606659,0.9073312540689515,0.9231346282893313
Motorola G32,2023-07,-0.8615695479773405,0.992799422253158,0.4890448340052897
Motorola G32,2023-08,-0.9435888941665568,0.6928405164405935,0.7896509239176602
Motorola G32,2023-09,0.9999961538708086,0.1799341241952687,-0.9902632836309953
Motorola G32,2023-10,0.7717977603429942,-0.6019729627347004,-0.837814054937414
Motorola G32,2023-11,-0.9990799117043001,-0.9982342657920288,0.99581034325139
Motorola G32,2023-12,0.9261768820392752,-0.2682295355218605,-0.07600528824503755
Motorola G32,2024-01,0.9876743454327305,0.930618102361457,0.6095127633308971
Motorola G32,2024-02,0.6134618463009205,0.9143545149394536,-0.9251092718579808
Motorola G32,2024-03,-0.7324415983697986,0.3393593519631069,-0.9858563222927116
Motorola G32,2024-04,-0.9062445653373108,-0.9464371972250343,0.16989488207376052
Motorola G32,2024-05,0.975093956286757,-0.9876943571327482,-0.008532527392666757
Motorola G32,2024-06,0.9356748276524623,-0.36544354333349555,0.7477358752602191
Motorola G32,2024-07,,0.6286185570937122,
Motorola G32,2024-08,-0.07915887008141634,0.9285714285714284,0.9008256367899329
Motorola G32,2024-09,-0.9662823901213162,0.9941916256019201,0.8783761819460353
Motorola G32,2024-10,-0.7957074486414042,-0.8789591854845552,0.9855540284061566
Motorola G32,2024-11,0.38027893787161915,-0.9645788568769381,-0.9760702132534441
Motorola G32,2024-12,-0.6911978891619407,,-0.3545190589765286
Motorola G32,2025-01,0.23840885335451406,,0.89576534677525
Motorola G32,2025-02,0.20182572299277715,-0.7107423155935334,0.8769655280631526
Motorola G32,2025-03,-0.9326876862932745,0.0821994936526786,0.7724712965561296
Motorola G32,2025-04,-0.616103038047708,-0.18898223650461354,0.8330427676718928
Samsung A15,2024-06,,1.0,1.0
Samsung A15,2024-07,0.3469420885652716,0.9982876479301392,0.22498233954751373
Samsung A15,2024-08,0.903449518886863,0.009808852453683299,-0.753340716410924
Samsung A15,2024-09,-0.9910833060550291,-0.7105733788888972,0.8742570210376562
Samsung A15,2024-10,0.9574034105319607,-0.495199644566978,0.33517278468165124
Samsung A15,2024-11,0.9999678670051161,-0.9003472426511014,0.8139041728696861
Samsung A15,2024-12,0.8752796628502937,-0.5595745441475705,0.06824793669977199
Samsung A15,2025-01,-0.69419535759641,-0.9886504301735695,-0.8087693325209653
Samsung A15,2025-02,0.07016612067120502,-0.9999979418959887,-0.9283134250721592
Samsung A15,2025-03,0.9992727618934827,-0.9493943060387974,-0.9597021958437436
Samsung A15,2025-04,0.7442597501907914,-0.9983288677812185,0.14847577378190518
